"","Area","Item","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"28303","Philippines","Beans, dry",25118,23228,23422,24218,26651,26792,27468,28457,29198,27465,27757,27351,25985,26472,26748,25952,29067,29617,27694,27055,32960,32366,32422,32144,33623
"28307","Philippines","Beans, green",9878,10551,11003,11309,11289,12361,12440,11900,12139,11757,11603,11847,11549,11856,12049,13493,15922,16987,16187,15820,15426,15328,15423,15305,14745
"28310","Philippines","Cabbages and other brassicas",170941,150784,155095,151340,129989,98072,95859,85842,87472,87576,89542,91368,91982,92782,91439,91243,123443,128865,124712,128964,125310,126381,127463,127986,125752
"28313","Philippines","Carrots and turnips",42085,37581,36784,34902,37256,39015,38423,37015,38877,40180,39643,40658,41036,42638,41945,42032,71458,74855,74808,78351,73504,74965,75294,75700,74367
"28316","Philippines","Cashew nuts, with shell",98283,99112,98509,123748,153567,61596,173241,168559,111170,111019,111153,111223,111291,116910,116533,113071,112558,112334,111993,134681,133388,132541,146289,170853,205531
"28319","Philippines","Cassava",1814880,1783733,1843055,1890509,1905903,1910775,1958004,1733821,1890315,1765712,1652036,1625739,1622242,1640520,1677564,1756856,1871138,1941574,2043719,2101454,2209684,2223182,2361561,2540254,2710919
"28322","Philippines","Castor oil seed",6368,7000,7000,4000,4000,4000,3700,3400,3100,2800,2500,2200,1900,1600,1300,1000,700,100,84,77,57,49,47,44,43
"28325","Philippines","Cauliflowers and broccoli",4125,7207,6650,7025,8428,12376,13331,13437,13615,13751,13905,13918,13993,13764,12713,12753,12518,13361,13244,13801,14464,14630,14808,14803,14776
"28328","Philippines","Chicory roots",1672,1616,1759,1781,1774,1821,1794,1597,1439,1421,1475,1495,1579,1721,3386,3348,3335,3566,3750,3860,4031,4244,4405,4565,4725
"28331","Philippines","Chillies and peppers, green",12129,13541,15662,14453,16528,17270,17253,15646,15150,15753,15983,16790,16913,17493,17138,17974,19143,20328,20324,20853,21003,20977,21462,21834,22019
"28334","Philippines","Cocoa, beans",9584,7537,7707,7945,7927,7895,7844,7387,7667,6628,6531,5803,5693,5648,5679,5415,5237,5149,5134,5019,4856,4831,4876,5428,6023
"28337","Philippines","Coconuts",11292500,11580400,11669480,11837160,12790840,11936720,13707837,12806429,11589010,12994654,13146052,14068495,14294203,14366184,14824585,14957910,14852927,15319527,15667565,15510283,15244609,15863801,15354334,14696298,14735189
"28341","Philippines","Coffee, green",125017,126832,124415,123553,127412,117226,120006,107802,104124,107557,112271,107080,106388,102865,105847,104093,97877,97428,96433,94536,88526,88943,78634,75454,72342
"28344","Philippines","Cow peas, dry",308,339,347,365,402,373,405,318,307,320,321,323,812,834,860,906,958,999,966,912,903,903,1204,1136,651
"28348","Philippines","Cucumbers and gherkins",6108,6767,6249,6941,6806,8764,8488,9125,9292,8845,8618,8995,9127,9540,9226,9719,10873,11432,11845,11432,11640,11792,12540,12802,12905
